# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
458 -10.8333 0.833333 0 0
459 -9.16667 0.833333 0 0
460 -7.5 0.833333 0 0
461 -5.83333 0.833333 0 0
462 -4.16667 0.833333 0 0
463 -2.5 0.833333 0 0
464 -0.833333 0.833333 0 0
465 0.833333 0.833333 0 0.570386
466 2.5 0.833333 0 0.652244
467 4.16667 0.833333 0 0.671343
468 5.83333 0.833333 0 0.557922
469 7.5 0.833333 0 0.451159
470 9.16667 0.833333 0 0.319044
471 10.8333 0.833333 0 0.343874
472 12.5 0.833333 0 0.489781
473 14.1667 0.833333 0 0.656572
474 15.8333 0.833333 0 0.809872
475 17.5 0.833333 0 0.912578
476 19.1667 0.833333 0 0.963624
477 20.8333 0.833333 0 0.98457
478 22.5 0.833333 0 0.992735
479 24.1667 0.833333 0 0.993571
480 -24.1667 2.5 0 0.999576
481 -22.5 2.5 0 0.996978
482 -20.8333 2.5 0 0.995274
483 -19.1667 2.5 0 0.993002
484 -17.5 2.5 0 0.989943
485 -15.8333 2.5 0 0.957601
486 -14.1667 2.5 0 0.837198
487 -12.5 2.5 0 0
488 -10.8333 2.5 0 0
489 -9.16667 2.5 0 0
490 -7.5 2.5 0 0
491 -5.83333 2.5 0 0
492 -4.16667 2.5 0 0
493 -2.5 2.5 0 0
494 -0.833333 2.5 0 0
495 0.833333 2.5 0 0.565694
496 2.5 2.5 0 0.705962
497 4.16667 2.5 0 0.709227
498 5.83333 2.5 0 0.638557
499 7.5 2.5 0 0.584223
500 9.16667 2.5 0 0.413383
501 10.8333 2.5 0 0.440323
502 12.5 2.5 0 0.598404
503 14.1667 2.5 0 0.683818
504 15.8333 2.5 0 0.797118
505 17.5 2.5 0 0.925205
506 19.1667 2.5 0 0.969417
507 20.8333 2.5 0 0.977091
508 22.5 2.5 0 0.991052
509 24.1667 2.5 0 0.995345
510 -24.1667 4.16667 0 0.999321
511 -22.5 4.16667 0 0.996589
512 -20.8333 4.16667 0 0.997725
513 -19.1667 4.16667 0 0.992044
514 -17.5 4.16667 0 0.990966
515 -15.8333 4.16667 0 0.973441
516 -14.1667 4.16667 0 0.907901
517 -12.5 4.16667 0 0.589483
518 -10.8333 4.16667 0 0.535416
519 -9.16667 4.16667 0 0.518189
520 -7.5 4.16667 0 0.513513
521 -5.83333 4.16667 0 0.515847
522 -4.16667 4.16667 0 0.473476
523 -2.5 4.16667 0 0.51846
524 -0.833333 4.16667 0 0.569252
525 0.833333 4.16667 0 0.742895
526 2.5 4.16667 0 0.848158
527 4.16667 4.16667 0 0.804103
528 5.83333 4.16667 0 0.785457
529 7.5 4.16667 0 0.709222
530 9.16667 4.16667 0 0.618529
531 10.8333 4.16667 0 0.664761
532 12.5 4.16667 0 0.720507
533 14.1667 4.16667 0 0.791096
534 15.8333 4.16667 0 0.87722
535 17.5 4.16667 0 0.918564
536 19.1667 4.16667 0 0.973689
537 20.8333 4.16667 0 0.986871
538 22.5 4.16667 0 0.997177
539 24.1667 4.16667 0 0.994642
540 -24.1667 5.83333 0 0.997996
541 -22.5 5.83333 0 0.997719
542 -20.8333 5.83333 0 0.994295
543 -19.1667 5.83333 0 0.990566
544 -17.5 5.83333 0 0.997852
545 -15.8333 5.83333 0 0.974699
546 -14.1667 5.83333 0 0.954592
547 -12.5 5.83333 0 0.890461
548 -10.8333 5.83333 0 0.814719
549 -9.16667 5.83333 0 0.806061
550 -7.5 5.83333 0 0.726587
551 -5.83333 5.83333 0 0.768818
