# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
284 -7.59612 2.24794 0.663504 0
285 -7.57163 1.98963 0.646271 0
286 -7.55359 2.01083 0.660293 0
287 -7.55058 2.06257 0.849572 0
288 -7.56472 2.00117 0.646071 0
289 -7.60456 1.96114 0.645393 0
290 -7.58974 1.95904 0.848456 0
291 -7.60446 1.94429 0.84848 0
292 -7.6325 1.92951 0.649382 0
293 -7.61286 1.9373 0.663706 0
294 -7.63778 1.9252 0.652801 0
295 -7.62535 1.92431 0.661675 0
296 -7.79765 1.9255 0.726004 0
297 -7.72127 1.9251 0.848963 0
298 -7.81472 1.92776 0.657213 0
299 -7.78062 1.92684 0.659037 0
300 -7.80224 1.92397 0.84982 0
301 -7.81487 1.93939 0.650125 0
302 -7.86896 1.93296 0.656001 0
303 -7.9101 1.96719 0.660425 0
304 -7.94033 1.99544 0.661651 0
305 -7.89482 1.95475 0.649298 0
306 -7.94443 2.01554 0.657472 0
307 -7.93217 2.15109 0.651221 0
308 -7.7686 2.0423 0.648333 0
309 -7.94181 2.09348 0.848903 0
310 -7.76057 1.74705 0.646667 0
311 -8.19653 2.58571 3.53629 0
312 -6.11466 -0.470893 0.38 0
313 -6.74153 -0.242293 0.3673 0
314 -6.56938 -0.349841 0.3673 0
315 -5.66559 -0.445493 0.36095 0
316 -6.59507 -0.324146 0.37365 0
317 -6.72883 0.0117066 0.36095 0
318 -5.39561 -0.265767 0.0349136 0
319 -6.22684 -0.477243 0.240633 0
320 -6.52112 -0.0392279 0.0349136 0
321 -5.38435 -0.184675 0.0349136 0
322 -5.3865 -0.0398073 0.0158636 0
323 -5.3742 0.10193 0.0285636 0
324 -5.43162 -0.102922 0.0222136 0
325 -5.43234 -0.104407 0.0285636 0
326 -5.39065 0.111919 0.0285636 0
327 -5.40131 -0.133262 0.0285636 0
328 -5.36348 -0.361335 0.0473323 0
329 -5.35138 -0.348828 0.0472564 0
330 -5.38786 -0.353963 0.0372837 0
331 -5.37143 -0.326333 0.0222136 0
332 -6.61077 -0.0566819 0.0158636 0
333 -5.29438 -0.328959 0.137242 0
334 -5.36975 -0.320084 0.0222136 0
335 -5.38386 -0.416478 0.379514 0
336 -5.36933 -0.254869 0.0285636 0
337 -5.30247 -0.0335349 0.374139 0
338 -5.34374 -0.0475601 0.045646 0
339 -5.34257 0.10494 0.0494208 0
340 -5.31962 0.155118 0.258621 0
341 -5.3096 0.117324 0.372161 0
342 -5.38806 0.177546 0.372243 0
343 -5.3365 0.164983 0.378489 0
344 -5.3576 0.117432 0.0422885 0
345 -5.36473 0.0932353 0.0359381 0
346 -6.00513 0.112903 0.0285636 0
347 -6.45963 0.0978194 0.0285636 0
348 -6.57864 -0.0304791 0.0285636 0
349 -6.66354 -0.071724 0.137242 0
350 -6.60273 0.0813266 0.37941 0
351 -6.48673 0.0847663 0.0222136 0
352 -6.58703 -0.0748513 0.0285636 0
353 -6.42114 -0.386447 0.169403 0
354 -6.47265 -0.373436 0.169403 0
355 -6.55253 -0.254318 0.0285636 0
356 -5.56364 -0.368667 0.0452458 0
357 -6.27135 -0.378414 0.0600043 0
358 -6.10565 -0.34349 0.0285636 0
359 -5.8458 -0.359754 0.0386697 0
360 -5.93108 -0.410243 0.374039 0
361 -5.93058 -0.417317 0.378946 0
362 -10.4268 0.0807066 0.501592 0.171444
363 -10.4567 0.120707 0.5047 0
364 -10.4439 0.0807066 0.514521 0.201628
365 -10.4467 0.108073 0.523776 0.239062
366 -10.4534 0.108073 0.520749 0.596287
367 -10.4234 0.108073 0.483792 0
368 -11.4767 0.12404 0.676667 0
369 -11.5674 0.130707 0.676667 0.228177
370 -10.1806 0.12404 1.32333 0.276636
371 -10.8415 0.14904 0 0
372 -9.5412 0.127373 1.32333 0.219994
373 -11.1096 0.12404 1.32333 0
374 -9.31894 0.11904 0.03 0.284781
375 -10.8707 0.127373 0.03 0.123251
376 -10.4769 0.12404 0.03 0.197328
377 -9.86421 0.12404 1.97 0
378 -9.47712 0.127373 1.97 0
379 -11.2578 0.12404 1.97 0
380 -9.96411 0.11904 1.97 0
381 -1.17779 -0.708198 3.27006 0
382 -1.1668 -1.4352 3.68387 0
383 -1.18087 -1.4352 3.59113 0
384 -1.17329 -1.4352 3.59631 0
385 -1.16896 -1.4352 3.57258 0
386 -1.16323 0.864802 1.61912 0
387 -1.17546 -1.4352 3.48226 0
388 -1.1668 2.0148 0.579436 0
389 -1.17252 0.864802 1.58733 0
390 -1.18335 2.0148 0.55951 0
391 -1.1787 -0.285198 2.32944 0
392 -1.18412 0.864802 1.40081 0
393 -1.17483 -1.4352 3.39147 0
394 -1.1668 -1.4352 3.28387 0
395 -1.1668 2.0148 0.46976 0
396 -1.18303 -0.285198 2.23266 0
397 -1.16896 2.0148 0.352486 0
398 -1.1787 0.864802 1.31936 0
399 -1.1691 -1.4352 3.19527 0
400 -0.201925 -1.3872 3.48439 0
401 -0.223008 -1.4352 3.66533 0
402 -0.21976 -1.4352 3.67258 0
403 -0.208935 -0.285198 2.75121 0
404 -0.22053 -0.285198 2.76146 0
405 -0.212182 -0.285198 2.63105 0
406 -0.217595 2.0148 0.66976 0
407 -0.221925 -1.4352 3.36291 0
408 -0.214348 -0.285198 2.42944 0
409 -0.231668 2.0148 0.67863 0
410 -0.227338 0.864802 1.42097 0
411 -0.225629 -1.4352 3.19147 0
412 -0.212182 2.0148 0.357664 0
413 -0.234916 0.864802 1.30403 0
414 -1.13943 1.43654 1.53946 0
415 -1.1748 2.0148 1.12286 0
416 -1.13313 0.974461 1.92882 0
417 -1.16256 -0.811121 3.42782 0
418 -1.15153 1.4392 1.52426 0
419 -0.24984 2.0148 1.07805 0
420 -1.19594 -0.288879 2.93535 0
421 -1.21038 0.338619 2.45821 0
422 -8.07986 2.07571 4.43333 0.198948
423 -8.00986 2.07571 4.45 0
424 -8.01319 2.12571 4.46667 0
425 -8.10319 -1.81429 3.8061 0
426 -4.70653 -3.19763 4.12 0
427 -8.02319 -2.36429 4.43333 0
428 -0.183192 0.885707 4.75 0
429 -4.04653 -3.14763 4.13333 0
430 -0.0965253 0.685707 4.75667 0
431 -0.156525 0.885707 3.88333 0.596317
432 -0.179859 0.435707 4.46667 0
433 -0.0898586 0.485707 3.8061 0
434 -5.09653 3.76904 4.12 0
435 -5.10653 3.69904 4.15 0
436 -2.39653 3.70237 0.8 0
437 -2.39653 3.78571 1.75667 0
438 -0.149859 1.99071 1.735 0
439 -2.61319 3.71904 0.8 0
440 -2.19653 3.79237 0.8061 0
441 -0.163192 2.20237 1.8 0
442 -0.0898586 1.98571 0.795 0
443 -0.153192 -1.81929 1.735 0
444 -0.169859 2.18571 1.75 0
445 -0.113192 -1.60429 1.12 0
446 -0.113192 -2.21429 1.43333 0.305256
447 -0.156525 -1.61929 1.445 0
448 -0.179859 -2.26429 1.46667 0
449 -0.169859 -2.16429 1.43333 0.116256
450 -8.03653 -1.60929 0.855 0
451 -8.04653 -1.82596 0.834792 0
452 -6.30653 3.78904 0.796667 0
453 -8.01453 1.69237 3.9 0
454 -4.47986 -3.13629 3.9 0
455 -8.01453 -1.26429 1.43333 0
456 -6.85653 3.70771 1.43333 0
457 -0.178525 2.16904 0.9 0
458 -8.20965 2.07404 3.7806 0.167477
459 -8.21152 1.47904 3.77654 0.264094
460 -8.12366 -1.81429 3.78865 0
461 -4.29653 -3.24263 3.78518 0.364685
462 -8.12152 -2.41429 3.78202 0
463 -4.69153 -3.28477 3.78242 0.112714
464 0.0184747 0.487373 3.77654 0.517703
465 -0.0260526 1.08571 3.78242 0
466 0.0134747 0.885707 3.76447 0
467 -2.19986 3.85737 0.780621 0
468 -2.79153 3.89951 0.778343 0.489545
469 0.0181323 1.78737 0.778384 0.875895
470 0.0172808 -1.61929 0.778343 0.42055
471 -8.20653 -1.61429 0.76447 0
472 -8.12366 -1.81429 0.788652 0
473 -6.30653 3.81285 0.788652 0
474 -6.50653 3.89571 0.767903 0
475 -7.99053 1.50729 4.41265 0
476 -7.99053 1.50259 4.42111 0
477 -7.97952 1.5026 4.40405 0
478 -7.97756 -2.3874 4.34736 0
479 -7.99053 -2.38529 4.43833 0
480 -7.98386 -2.39633 4.41687 0
481 -7.99053 -2.39164 4.42157 0
482 -4.1281 -3.09065 4.32 0
483 -4.11964 -3.08597 4.41262 0
484 -0.196525 1.06471 4.41167 0
485 -5.67449 3.66449 4.41244 0
486 -0.202525 1.05836 4.41219 0
487 -5.68553 3.68571 4.41167 0
